npi,provider_name,Primary_Specialty,Primary_Hospital_Affiliation,program_year,payment_type,product_category,transaction_count,total_payment,avg_payment
1346676939,"Nest, Erin M",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,Food and Beverage,Other Novo Products,8,118.900000000,14.862500000
1477621241,"Kakos, Norman Johnny",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,7,118.850000000,16.978571429
1952348948,"Taylor, Charles I",Endocrinology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Ozempic,10,118.820000000,11.882000000
1376104869,"Benke, James Richard",Cardiology - Cardiologist,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2021,Food and Beverage,Rybelsus,1,118.770000000,118.770000000
1770560203,"Juneja, Rashmi Ghooi",Internal Medicine,Corewell Health Big Rapids Hospital (FKA Spectrum Health Big Rapids Hospital),2021,Food and Beverage,Wegovy,2,118.750000000,59.375000000
1548799851,"Drobot, Yevhen ",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,Food and Beverage,Rybelsus,10,118.690000000,11.869000000
1487638771,"Glazer-Zucker, Michelle B",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,13,118.570000000,9.120769231
1881666501,"Vliet, Deborah Ann",Nurse - Nurse Practitioner,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),2023,Food and Beverage,Ozempic,12,118.540000000,9.878333333
1871875476,"Spinks, Paula Ann",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,Food and Beverage,Wegovy,1,118.500000000,118.500000000
1548789506,"Patel, Bhavyata ",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2023,Food and Beverage,Ozempic,7,118.420000000,16.917142857
1770164972,"Alnajjar, Andy ",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,1,118.420000000,118.420000000
1477560308,"Al-Kassab, Abdul K",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,Food and Beverage,Rybelsus,1,118.310000000,118.310000000
1245982909,"Hazime, Christina ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,Food and Beverage,Ozempic,12,118.140000000,9.845000000
1205202025,"Burgtorf, Jennifer ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,Food and Beverage,Rybelsus,5,118.100000000,23.620000000
1245291475,"Kallabat, Steve Z",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,9,118.030000000,13.114444444
1598777047,"Lovy, Jonathan ",Internal Medicine,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),2021,Food and Beverage,Ozempic,10,118.010000000,11.801000000
1134119597,"Shah, Niraj Shashikant",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,9,117.950000000,13.105555556
1013466705,"Giancola, David ",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,10,117.940000000,11.794000000
1285673301,"Munn, Christina Ann",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,Food and Beverage,Wegovy,2,117.920000000,58.960000000
1386624187,"Kellman, J.adam Adam",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2021,Food and Beverage,Ozempic,10,117.910000000,11.791000000
1558525352,"Pinelis, Susanna ",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,7,117.880000000,16.840000000
1871013334,"Tasevski, Aleksandra ",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2023,Food and Beverage,Ozempic,9,117.830000000,13.092222222
1477558450,"Grunberger, George ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,Food and Beverage,Rybelsus,1,117.780000000,117.780000000
1346212800,"Borin, Andrew Jay",Cardiology - Cardiologist,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2024,Food and Beverage,Other Novo Products,1,117.750000000,117.750000000
1639156441,"Shah, Rita P",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,7,117.670000000,16.810000000
1730762246,"Waack, Kelcie Ann",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,Food and Beverage,Ozempic,8,117.560000000,14.695000000
1134618788,"Kasmikha, Marvin Khalid",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Rybelsus,2,117.550000000,58.775000000
1366510893,"Soile, Remi O",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Rybelsus,7,117.390000000,16.770000000
1760608772,"Williams, Diane Marie",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2021,Food and Beverage,Other Novo Products,10,117.330000000,11.733000000
1932588381,"Khraizat, Hussein Christopher",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Rybelsus,7,117.320000000,16.760000000
1457383911,"Obeid, Mohammed Muaz",General Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2023,Food and Beverage,Rybelsus,8,117.300000000,14.662500000
1215997796,"Ebaugh, Diane Barbara",Family Practice,Corewell Health Pennock Hospital (FKA Spectrum Health Pennock),2021,Food and Beverage,Ozempic,9,117.270000000,13.030000000
1942966577,"Smith, Nina-louise Amanda",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Wegovy,1,117.230000000,117.230000000
1861948002,"Banner-Frank, Jill M",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2021,Food and Beverage,Wegovy,1,117.230000000,117.230000000
1679118376,"Ropponen, Roxanne B",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Wegovy,1,117.230000000,117.230000000
1013980531,"Kasmikha, Riyadh P",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,7,117.210000000,16.744285714
1265719900,"Teasdale, Nicole Schwarz",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,Food and Beverage,Other Novo Products,8,117.200000000,14.650000000
1205202025,"Burgtorf, Jennifer ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,Food and Beverage,Ozempic,10,117.190000000,11.719000000
1881682821,"Patterson, David G",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,Food and Beverage,Rybelsus,4,117.190000000,29.297500000
1831341130,"Dagen, Mary Margaret",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,Food and Beverage,Other Novo Products,6,117.120000000,19.520000000
1477842904,"Gray, Afriyie Makel",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,6,117.110000000,19.518333333
1467431031,"Feinstein, Laina ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,7,116.940000000,16.705714286
1861839912,"Feinstein, Max ",Osteopathic Manipulative Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,7,116.930000000,16.704285714
1346892981,"Pham, Andrew ",Radiology - Diagnostic Radiology,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Ozempic,1,116.800000000,116.800000000
1285618983,"Batah, Fouad ",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Ozempic,7,116.760000000,16.680000000
1558525352,"Pinelis, Susanna ",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Ozempic,7,116.750000000,16.678571429
1346217627,"Shuker, Ala S",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,Food and Beverage,Ozempic,7,116.560000000,16.651428571
1467490953,"App, Michael J",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,Food and Beverage,Wegovy,10,116.540000000,11.654000000
1659303766,"Yerra, Kameshwari ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,Food and Beverage,Rybelsus,9,116.490000000,12.943333333
1568740918,"Tobia, Brooke L",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Other Novo Products,9,116.430000000,12.936666667
1861949950,"Monticciolo, Jillian ",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Other Novo Products,9,116.430000000,12.936666667
1679592877,"Dakhlallah, Fouad A",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,Food and Beverage,Ozempic,10,116.390000000,11.639000000
1639732787,"Houjaij, Israa ",Nurse - Nurse Practitioner,Corewell Health Wayne Hospital (FKA Beaumont Hospital - Wayne),2024,Food and Beverage,Ozempic,10,116.380000000,11.638000000
1922094507,"Roberts, Dudley ",Internal Medicine,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2020,Food and Beverage,Ozempic,9,116.360000000,12.928888889
1457383911,"Obeid, Mohammed Muaz",General Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,Food and Beverage,Ozempic,12,116.360000000,9.696666667
1447244819,"Stuart, Eric Bogardus",Cardiology - Cardiologist,Corewell Health Ludington Hospital (FKA Spectrum Health Ludington Hospital),2023,Education,Ozempic,1,116.000000000,116.000000000
1760462964,"Wein, Mark Brian",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2020,Food and Beverage,Ozempic,12,115.810000000,9.650833333
1063496818,"Langnas, Gary B",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2020,Food and Beverage,Ozempic,11,115.810000000,10.528181818
1639509508,"Mcclendon, Tammie Denise",Nurse - Nurse Practitioner,Corewell Health Wayne Hospital (FKA Beaumont Hospital - Wayne),2023,Food and Beverage,Other Novo Products,1,115.800000000,115.800000000
1376055723,"Kremer, Laura Sheri",Nurse - Nurse Practitioner,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2023,Food and Beverage,Other Novo Products,1,115.800000000,115.800000000
1750514485,"Donovan, Angela Christina",Nurse - Nurse Practitioner,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,Food and Beverage,Other Novo Products,1,115.800000000,115.800000000
1679883201,"Pseres, Kelly Maureen",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Other Novo Products,1,115.800000000,115.800000000
1891185153,"Pendergrast, Ruth Ann ",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Other Novo Products,1,115.800000000,115.800000000
1770096125,"Bolton, Emily Lynn",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Other Novo Products,1,115.800000000,115.800000000
1730479270,"Morris, Amanda Lynn",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),2020,Food and Beverage,Other Novo Products,15,115.500000000,7.700000000
1740287812,"Penn, William Paul",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2021,Food and Beverage,Ozempic,9,115.490000000,12.832222222
1548799851,"Drobot, Yevhen ",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2020,Food and Beverage,Rybelsus,1,115.320000000,115.320000000
1780696229,"Haroutunian, Michael J",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2020,Food and Beverage,Rybelsus,1,115.320000000,115.320000000
1790797207,"Rudy, William M",Internal Medicine,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2020,Food and Beverage,Rybelsus,1,115.320000000,115.320000000
1518141522,"Teitsma, Erin N",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,Food and Beverage,Rybelsus,1,115.190000000,115.190000000
1043574478,"Moe, Jacob Layne",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,6,115.110000000,19.185000000
1174183586,"Ilayan, Samer Abrahem",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Rybelsus,6,115.100000000,19.183333333
1548261878,"Golden, James Allen",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,7,115.090000000,16.441428571
1770904229,"Striegle, Lisa Marie",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,Food and Beverage,Wegovy,9,115.090000000,12.787777778
1982041620,"Torres, Raul Hector",Family Practice,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),2022,Food and Beverage,Rybelsus,8,115.010000000,14.376250000
1386624187,"Kellman, J.adam Adam",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2020,Food and Beverage,Ozempic,14,114.910000000,8.207857143
1841308996,"Mishulin, Svetlana M",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,Food and Beverage,Ozempic,14,114.700000000,8.192857143
1699018135,"Churchill, Alyssa Ashley",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,6,114.600000000,19.100000000
1801843032,"Horn, Benjamin G",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,6,114.600000000,19.100000000
1164478509,"Giovannucci, Sam J",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,6,114.600000000,19.100000000
1548789506,"Patel, Bhavyata ",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,Food and Beverage,Rybelsus,6,114.600000000,19.100000000
1609005693,"Bhimani, Vikas Vinodray",Family Practice,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2022,Food and Beverage,Rybelsus,6,114.590000000,19.098333333
1013908060,"Septer, Michael J",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,Food and Beverage,Rybelsus,4,114.550000000,28.637500000
1508834607,"Carlin, Tamara R",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2020,Food and Beverage,Ozempic,4,114.500000000,28.625000000
1609811975,"Al-Matchy, Victor P",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2024,Food and Beverage,Ozempic,7,114.390000000,16.341428571
1225028681,"Zia, Arqam ",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2021,Food and Beverage,Ozempic,9,114.340000000,12.704444444
1205856432,"Oska, Fadi ",Internal Medicine,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,Food and Beverage,Rybelsus,8,114.250000000,14.281250000
1942280177,"Shishu, Nidhi M",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Ozempic,14,114.230000000,8.159285714
1750415238,"Schipper, Benjamin Russell",Pediatric Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,Food and Beverage,Other Novo Products,15,114.190000000,7.612666667
1467490953,"App, Michael J",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2021,Food and Beverage,Ozempic,11,114.170000000,10.379090909
1487048237,"Becker, Russell ",Urology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Other Novo Products,1,114.090000000,114.090000000
1053567743,"Nadolsky, Karl Zahlmann",Endocrinology,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2021,Food and Beverage,Other Novo Products,11,113.810000000,10.346363636
1710500640,"Wendzinski, Kellie ",Family Practice,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2022,Food and Beverage,Ozempic,1,113.770000000,113.770000000
1477531929,"Fretz, Jennifer Elise",Family Practice,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),2024,Food and Beverage,Rybelsus,6,113.760000000,18.960000000
1750463071,"Bauer, Michelle M",Family Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,Food and Beverage,Rybelsus,6,113.750000000,18.958333333
1629038526,"Rosenberg, Daniel M",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Other Novo Products,7,113.710000000,16.244285714
1396362729,"Schutte, Katelyn ",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Wegovy,7,113.700000000,16.242857143
1003037417,"Woo, Jeffery Allen",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,8,113.580000000,14.197500000
1487875076,"Meyer, David Robert",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2023,Food and Beverage,Wegovy,10,113.530000000,11.353000000
1730479270,"Morris, Amanda Lynn",Endocrinology,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),2023,Food and Beverage,Ozempic,12,113.420000000,9.451666667
1861469264,"Hokanson, Darlene R",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1326563883,"Wille, Bridget Beth-Obrien",Physician Assistant,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1962427260,"Elder, Mahir Darrar",Cardiology - Interventional Cardiology,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2023,Food and Beverage,Other Novo Products,1,113.400000000,113.400000000
1457387300,"Sackman, Michael ",Pediatric Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Ozempic,1,113.400000000,113.400000000
1083161905,"Burkhardt, Julia Marie",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1093927972,"Serafimovski, Nenad ",Cardiology - Cardiologist,Corewell Health Farmington Hills Hospital (FKA Beaumont Hospital - Farmington Hills),2023,Food and Beverage,Other Novo Products,1,113.400000000,113.400000000
1750450409,"Vial, Claire Saunders",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Wegovy,1,113.400000000,113.400000000
1215167812,"Matti, Vivian Ghanem",Family Practice,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1760034532,"Shathaya, Heba Habib",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1558611491,"Way, Tara Melissa",Physician Assistant,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1134610207,"Chabaan, Deena ",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1407867799,"Blind, Rachel L",Nurse - Nurse Practitioner,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Wegovy,1,113.400000000,113.400000000
1992108641,"Hamill, Donna M",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2021,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1144341645,"Cherian, Prasad Kurian",Cardiology - Cardiologist,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2023,Food and Beverage,Other Novo Products,1,113.400000000,113.400000000
1780918946,"Hassouna, Bassel ",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2023,Food and Beverage,Other Novo Products,1,113.400000000,113.400000000
1831490622,"Duanmu, Zhengbo ",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Rybelsus,1,113.400000000,113.400000000
1457383911,"Obeid, Mohammed Muaz",General Practice,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2022,Food and Beverage,Ozempic,7,113.390000000,16.198571429
1205817038,"Sharma, Rita A",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Rybelsus,8,113.380000000,14.172500000
1003804642,"Verkaik, Steven J",Family Practice,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2022,Food and Beverage,Rybelsus,12,113.310000000,9.442500000
1659342376,"Karmo, Nibras ",Pediatric Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Wegovy,1,113.280000000,113.280000000
1720063787,"Khurana, Sandeep ",Cardiology - Cardiologist,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2021,Food and Beverage,Wegovy,2,113.160000000,56.580000000
1861949950,"Monticciolo, Jillian ",Physician Assistant,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,12,113.060000000,9.421666667
1306235569,"Sturgis, Kelsey E",Physician Assistant,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,5,113.010000000,22.602000000
1184673121,"Hoogmoed, Ronald P",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Ozempic,5,113.010000000,22.602000000
1417538620,"Dubiel, Andrea Kristina",Nurse - Nurse Practitioner,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,Food and Beverage,Wegovy,13,113.000000000,8.692307692
1649238213,"Verma, Ashish ",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2021,Food and Beverage,Other Novo Products,2,112.920000000,56.460000000
1457743486,"Wedde, Audrey Lynn",Family Practice,Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),2022,Food and Beverage,Rybelsus,6,112.920000000,18.820000000
1558525352,"Pinelis, Susanna ",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Ozempic,10,112.890000000,11.289000000
1336175512,"Syriac, Jane K",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2023,Food and Beverage,Rybelsus,7,112.870000000,16.124285714
1093066086,"Jackson, Tiffany R",Nurse - Nurse Practitioner,Corewell Health Pennock Hospital (FKA Spectrum Health Pennock),2022,Food and Beverage,Ozempic,9,112.830000000,12.536666667
1093743007,"Tobin, Amy Lum",Endocrinology,Corewell Health Beaumont Troy Hospital (FKA Beaumont Hospital - Troy),2023,Food and Beverage,Rybelsus,6,112.600000000,18.766666667
1992108641,"Hamill, Donna M",Nurse - Nurse Practitioner,Corewell Health Beaumont Grosse Pointe Hospital (FKA Beaumont Hospital - Grosse Pointe),2023,Food and Beverage,Rybelsus,6,112.600000000,18.766666667
1730136813,"Fuentes, Maricarmen ",Internal Medicine,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Wegovy,10,112.580000000,11.258000000
1346221785,"Kraft, Jeffrey A",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Ozempic,9,112.500000000,12.500000000
1578553301,"Atto, Ghazwan A",Internal Medicine,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2020,Food and Beverage,Ozempic,14,112.340000000,8.024285714
1194091066,"Feldman, Michael J",Internal Medicine,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2024,Food and Beverage,Ozempic,8,112.330000000,14.041250000
1730393448,"Copeland, Jonathan D",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2021,Food and Beverage,Ozempic,8,112.010000000,14.001250000
1639520422,"Boeve, Matthew Jay",Family Practice,Corewell Health Zeeland Hospital (FKA Spectrum Health Zeeland Community Hospital),2024,Food and Beverage,Wegovy,6,111.910000000,18.651666667
1386625606,"Agrest, Kevin A",Family Practice,Corewell Health William Beaumont University Hospital (FKA Beaumont Hospital - Royal Oak),2022,Food and Beverage,Ozempic,10,111.880000000,11.188000000
1043753502,"Damiani, Staci ",Nurse - Nurse Practitioner,Corewell Health Dearborn Hospital (FKA Beaumont Hospital - Dearborn),2024,Food and Beverage,Ozempic,8,111.870000000,13.983750000
1255063012,"Bell, Christopher Mikel-Eugene",Nurse - Nurse Practitioner,Corewell Health Grand Rapids Hospitals - Butterworth (FKA Spectrum Health Butterworth Hospital),2024,Food and Beverage,Other Novo Products,6,111.840000000,18.640000000
1508129545,"Bhathal, Ramneet ",Family Practice,Corewell Health Trenton Hospital (FKA Beaumont Hospital - Trenton),2024,Food and Beverage,Ozempic,8,111.690000000,13.961250000
