Full_Name,NPI,Primary_Specialty
Nuzhat F. Ahmed,1275517799,Internal Medicine
Kevin David Epple,1699759118,Physician Assistant
Deborah C. St. clair,1386628709,Family Practice
David M Abellard,1083698401,Internal Medicine
John P Oppenheimer,1174507545,Anesthesiology - Anesthesiologist
Bradley Lance Bufkin,1821072299,Surgery - Thoracic Surgery
Novette Sandra Green,1083698476,Nurse - Nurse Practitioner
Denise A. Johnson,1265416580,Family Practice
Kevin L Lopeman,1598749806,Anesthesiology - Certified Registered Nurse Anesthetist
Melody H Burt,1487638706,Family Practice
Stephen H Stark,1912981119,Cardiology - Interventional Cardiology
Gisela Trigo,1366426561,Cardiology - Cardiologist
Charles L Wolff,1649254855,Surgery - Neurosurgery
Maria Amelia Flaquer,1669456810,Family Practice
Angela W. Thomas,1629052980,Neurology
Marvin F Shienbaum,1649232752,Surgery - Plastic and Reconstructive Surgery
Eric Joseph Beadle,1164484218,Family Practice
Monica Tunde Porcelli,1821050980,Pediatric Medicine
Lu Zhang,1770545907,Anesthesiology - Anesthesiologist
Christina Emily Cartin,1295797082,Anesthesiology - Certified Registered Nurse Anesthetist
Ananth Krishnan Iyer,1861454696,Oncology - Hematology/Oncology
Kristine Jane Guleserian,1023070109,Other
Rolando D Rodriguez,1114989142,Cardiology - Cardiologist
Elizabeth M Race,1568424596,Internal Medicine
Robert A Helsten,1043272057,Family Practice
William J Bugni,1891757811,Cardiology - Cardiologist
Padmini G Rajan,1588626584,Internal Medicine
James R. Post,1265494264,Cardiology - Cardiologist
Stephen W Mester,1457313470,Cardiology - Interventional Cardiology
Jeffrey P Steinhoff,1811959869,Cardiology - Cardiologist
Christopher L. Bell,1407818479,Surgery - General Surgery
Robert Sanchez,1174585053,Cardiology - Cardiologist
Alberto Abrebaya,1417919242,Podiatry
Francisco Cardona,1588626410,Cardiology - Cardiac Electrophysiology
Weber Lee Smith,1376505271,Pathology
Irfan Ahmed,1548222490,Radiology - Radiation Oncology
Anuja K Reddy,1780646646,Internal Medicine
Michael John Babiak,1336101195,Anesthesiology - Anesthesiologist
Tia Tortoriello Raymond,1013979871,Cardiology - Pediatric Cardiologist
Neil Scott Reece,1467414250,Family Practice
Poonam Goyal Agarwal,1861455446,Cardiology - Cardiologist
Thomas C Tolli,1447212014,Surgery - Orthopedic Surgery
Maria Josephine Razon,1417919036,Internal Medicine
Kanubhai A Patel,1225090848,Internal Medicine
Melissa Joy Fleck,1740242379,Anesthesiology - Anesthesiologist
Dennis J Walker,1972587269,Cardiology - Cardiologist
Michael J Monzel,1437133659,Gastroenterology
Mauricio T Hernandez,1467436501,Surgery - General Surgery
Howard F Hermans,1710961867,Surgery - General Surgery
Sindhu E Philip,1740264894,Pediatric Medicine
Paresh K Rajajoshiwala,1225090939,Surgery - General Surgery
Christine W Holland,1821046616,Emergency Medicine
Joseph Mcdonald Armotrading,1588626147,Surgery - General Surgery
George Tan Lim,1003878687,Internal Medicine
Gennaro Sagliocca,1720037054,Nephrology
Christopher Padgett,1578525119,Physician Assistant
Timothy A Brant,1659329001,Radiology - Radiation Oncology
Hassan Ali,1780632109,Nephrology
Gerard Q Flores,1326096694,Nephrology
Robert W Yancey,1407804792,Infectious Disease
Patrick Lee Allen,1053369348,Obstetrics/Gynecology
Cesar B Pena-rodriguez,1073576435,Internal Medicine
Mark Alan Godfrey,1659329241,Unknown
Nam Thuy duc Nguyen,1568410157,Radiology - Diagnostic Radiology
Elie Benaim,1790748176,Urology
Edward J Magee,1437107190,Family Practice
Jose Roberto Mendoza,1851349518,Internal Medicine
Mark E Hammer,1356304745,Ophthalmology
Burhaan Ahmad,1730137118,Internal Medicine
John Lee Bankston,1093778318,Neonatal-Perinatal Medicine
Miranda Whitmer,1487617700,Dermatology
Soling Li,1649233925,Internal Medicine
Lev D Kandinov,1235192543,Obstetrics/Gynecology
Janie A Ho,1710961487,Ophthalmology
Richard Leonard Fox,1457336943,Internal Medicine
Dhirendra Indulal Mehta,1043295686,Anesthesiology - Anesthesiologist
Leyda E Bowes,1720031396,Dermatology
Victor M Gomez,1326023862,Critical Care (Intensivists)
Michael Wayne Taylor,1326023920,Surgery - General Surgery
Irfan A Agha,1912982489,Nephrology
Frank J Aranda,1588649099,Internal Medicine
Maria Cecilia Mas,1679558084,Internal Medicine
Veronica Machado,1548213051,General Practice
Kantilal N. Bhadja,1033162052,Internal Medicine
Stephanie L Atiyeh,1659356053,Pediatric Medicine
Raul A Alvarez,1053365692,Internal Medicine
Nicholas James Hammond,1588649800,Nurse - Nurse Practitioner
Magda Elkabani Melchert,1376596346,Oncology - Hematology/Oncology
Bevin Patricia Weeks,1124003686,Cardiology - Pediatric Cardiologist
Grisel Mac williams,1053396549,Internal Medicine
Ebrahim H Karkevandian,1740233238,Emergency Medicine
Kristine Ann Rynn,1831142330,Physician Assistant
James Leon Christopoulos,1982689527,Anesthesiology - Anesthesiologist
Jose A Saliba,1366427916,Internal Medicine
Brian Keith Hameroff,1720031941,Podiatry
Adam Carl Means,1922051374,Radiology - Diagnostic Radiology
Rafael Mas,1942285358,Internal Medicine
Robert George Valentine,1730164161,Pain Management - Interventional Pain Management
Elbert H Barnes,1114902533,Family Practice
Juan Pio Ros carretero,1427001502,Anesthesiology - Anesthesiologist
Joseph R Locker,1063497428,Surgery - Orthopedic Surgery
Sophie Lanciers,1619952918,Pediatric Medicine
Garry Davis Millien,1689628224,Family Practice
Jorge Alberto Loredo,1073567640,Internal Medicine
Earl C Lysaker,1104870831,Internal Medicine
David A. Ray,1720062698,Family Practice
Anjani Narendra Amin,1750365839,Family Practice
Trelvis L Ragin sallet,1801870852,Anesthesiology - Anesthesiologist
Rizwana Thanawala,1922082833,Gastroenterology
Mark R Shaya,1568446482,Surgery - Neurosurgery
Accamma Geni Abraham,1295719144,Internal Medicine
Jeffery S Snyder,1447234364,Cardiology - Cardiac Surgery
Nancy Lucille Loeffler,1598749426,Anesthesiology - Anesthesiologist
Mary C. Waechter,1942284872,Internal Medicine
Jennifer L Jones,1285618033,Emergency Medicine
Maryellen Meiring,1487638243,Nurse - Nurse Practitioner
Jemelle June Mayugba,1457335234,Internal Medicine
David C Adams,1528042256,Dermatology
Ramon A Cintron,1912981655,Family Practice
Maria B. Mata,1518941251,Radiology - Diagnostic Radiology
Anilkumar N Raiker,1487616017,Oncology - Hematology/Oncology
John Terrill Main,1467405233,Surgery - Neurosurgery
Patrick Vincent Acevedo,1639132269,Oncology - Medical Oncology
Abeer A. Abutaleb,1356395008,Hospitalist
Fawaz M Ashouri,1912967860,Urology
Mario E Carbonell,1639150048,Internal Medicine
William V Harrer,1972584217,Oncology - Hematology/Oncology
Gail Bonner Kiem,1144201492,Internal Medicine
Joan E Siracuse,1649252925,Cardiology - Cardiologist
Odaiyappa Sambandam,1184605404,Cardiology - Cardiologist
Mary D Schwartz,1942281225,Nurse - Nurse Practitioner
Justino Silvestre,1760463053,Oncology - Hematology/Oncology
Ajit M Dave,1043291347,Internal Medicine
Arturo Rodriguez-martin,1184605495,Family Practice
Harvey Montijo,1205818457,Surgery - Orthopedic Surgery
Marykate H Vellis,1720060833,Physician Assistant
Karamali Abdulsultan Bandealy,1982686135,Rheumatology
Jonathan S Hall,1881676898,Surgery - Neurosurgery
Melissa Garrison Smith,1053393066,Nurse - Nurse Practitioner
Cristobal Rosario,1104808153,Internal Medicine
Richard Adam Waggoner,1548242514,Physician Assistant
Frederick W Shuler,1215919220,Surgery - Vascular Surgery
Lorenzo Manuel Galindo,1568443372,Pathology
David Halpert,1003897810,Nephrology
Rahat Abbas,1699756312,Internal Medicine
Jhon Saul Guzman-rivera,1568443232,Nephrology
Adriene R Miller,1003897737,Internal Medicine
Thomas L Mcknight,1679554422,Family Practice
Mohammed Yahia Abdul-rahim,1003897620,Pediatric Medicine
Ravi Sharma,1205817814,Surgery - Vascular Surgery
Bonnie Lynn Davis,1598746190,Nurse - Nurse Practitioner
James P Bartek,1669453270,Surgery - Vascular Surgery
Roberto Andres Guerrero,1265439806,Gastroenterology - Pediatric
Damien M Dauphinee,1629075288,Podiatry
Renuka Swaminathan,1891792453,Family Practice
Beverly Ann Taylor,1609844802,Nurse - Nurse Practitioner
James Michael Kerpsack,1861499451,Surgery - Orthopedic Surgery
Krishnaswamy Swaminathan,1033116694,Surgery - General Surgery
John Seng ung Lau,1427055862,Internal Medicine
Karen V Ray,1710984281,Other
Sharif Salehi,1093783136,Emergency Medicine
Sing long Chang,1215906284,Anesthesiology - Anesthesiologist
Linda Welch Sellers,1679541890,Nurse - Nurse Practitioner
Madhukar Shrinath,1346218492,Pediatric Medicine
Steven Ira Arkin,1104895259,Obstetrics/Gynecology
Leonard Y Cosmo,1891763934,Pulmonary Disease
Lisabeth D Hogan-moody,1396714242,Physician Assistant
Julije Vucemilovic,1053318329,Family Practice
Robert S Bain,1720085004,Radiology - Diagnostic Radiology
Clinton Douglas Holder,1578560777,Infectious Disease
Angela Acevedo,1104895135,Internal Medicine
Archana Chandra,1134198013,Family Practice
Carlos J Vazquez,1942279971,Obstetrics/Gynecology
Stephen Bruce Jones,1811966849,Physician Assistant
Albert Thaddeus Petrosino,1386641561,Internal Medicine
Michael J Chmielewski,1659378388,Obstetrics/Gynecology
Xiangdong Bu,1336108919,Pathology
Kenneth Joseph Brown,1043279870,Gastroenterology
Jefferson Mason Trupp,1871552638,Radiology - Radiation Oncology
Jose Emilio Roman-candelaria,1710946520,Pulmonary Disease
Mia Marsha Mcgregor,1548229230,Pediatric Medicine
Balu Chandra,1588623342,Gastroenterology
Subadra Sivakumaran,1275592883,Family Practice
Alan J Marcus,1578522033,Internal Medicine
Ghulam Mohammed,1629037197,Internal Medicine
Aleem Uddin Malik,1518926013,Unknown
Peter Rome Bendetson,1811956329,Dermatology
Gustave Stephen Igel,1356300867,Obstetrics/Gynecology
Hector J Cases,1265491781,Neurology
Maria M Sarach-kozlowska,1104885458,Anesthesiology - Anesthesiologist
Bishnu Prakash Verma,1720048051,Internal Medicine
Scott Fitzgerald Graham,1861452104,Family Practice
Jacquelyn Perry,1346200649,Podiatry
Lola Hussey,1376503680,Anesthesiology - Certified Registered Nurse Anesthetist
Imad Jandali,1902866270,General Practice
Frederick N. Herman,1811957129,Surgery - General Surgery
Karin Stringer Maddox,1780644997,Neurology
Debra J. Adkins,1154381473,Emergency Medicine
Matthew W Cerniglia,1669432894,Podiatry
Muhammad K. Sami,1649230962,Pediatric Medicine
Jeffrey Thomas Spencer,1447210257,Anesthesiology - Certified Registered Nurse Anesthetist
Ralph Padilla,1366402463,Anesthesiology - Certified Registered Nurse Anesthetist
James Ken,1033179130,Radiology - Diagnostic Radiology
Antonio Mendez,1942281290,Internal Medicine
Douglas A Fullington,1730148180,Internal Medicine
Louis Vagias,1881675544,Family Practice
Manuel Fernando Salazar,1710970744,Cardiology - Cardiologist
Nanette Davies,1194729426,Nurse - Nurse Practitioner
Wasim Ahmar,1528061330,Cardiology - Cardiologist
Hayath Javeed,1295738938,Internal Medicine
Ethan Ben Kass,1912991811,Psychiatry
Maria M Cuadros,1427051028,Family Practice
William R Salazar,1538153465,Internal Medicine
Patricia A Curtin,1609879287,Pediatric Medicine
Oswaldo J Rodriguez,1770577744,Internal Medicine
Torr Erik Carmain,1609860444,Surgery - General Surgery
Vitalis Unaeze,1396739157,Internal Medicine
Shalaun J Hawkins,1295729911,Internal Medicine
Lenora Stanley,1518951177,Nurse - Nurse Practitioner
Leonard James Waldenberger,1477556728,Internal Medicine
Jeffrey A. Schievenin,1679567143,Family Practice
Mark Dean Vannorsdall,1336141555,Nephrology
Cynthia Michel knowles,1912991498,Internal Medicine
Antonio Pinero-pilona,1720082068,Endocrinology
Kenneth R Blau,1992799423,Anesthesiology - Anesthesiologist
Linda J Badillo,1871588350,Nephrology
Jeffrey S Fine,1649272816,Gastroenterology
Lawrence Lankford,1801898853,Anesthesiology - Anesthesiologist
Robert C Slaton,1578557096,Internal Medicine
Alexandra Lopez Lewis,1194719609,Physician Assistant
Srinivas K Hariachar,1265427728,Nephrology
Muralidhar K Acharya,1225023716,Nephrology
Kenneth G Bridges,1437144870,Surgery - Vascular Surgery
Henry Alexander Boilini,1396730743,Psychiatry
Ranjeeta Krishnadas,1316941354,Physician Assistant
Shivinder Narwal,1184619488,Gastroenterology - Pediatric
Anita K Turner,1427043868,Anesthesiology - Certified Registered Nurse Anesthetist
Edward A Capone,1396749131,Family Practice
Clifford A Kinder,1669476537,Family Practice
Kevin R Gordon,1871597666,Obstetrics/Gynecology
Robert Ulseth,1043205305,Pain Management
Gabrielle Hope Mayers,1376538645,Pediatric Medicine
Stephen G Pelham,1073508206,Family Practice
Venkatachalam Shanmugasundaram,1821083031,Otolaryngology
John Severin Kristoferson,1235124314,Surgery - Orthopedic Surgery
Enrique J Huertas,1780679860,Internal Medicine
Beth Robyn Braver,1225032105,Internal Medicine
Ritchie R Plummer,1285638023,Family Practice
Syed Hasan Abid,1013902006,Oncology - Medical Oncology
Sudhir Agarwal,1144215138,Cardiology - Cardiologist
Peter H Obesso,1770587347,Family Practice
Purushottam M Reddy,1205821170,Nephrology
Carlos Jesus Lavernia,1255326179,Surgery - Orthopedic Surgery
Juan Carlos Zarate,1336134220,Cardiology - Cardiologist
Susan D Ponder,1811982721,Family Practice
Nancy M Worthington,1780679589,Unknown
Pranav N Shah,1144215963,Radiology - Diagnostic Radiology
Theodore I Macey,1952305484,Surgery - Orthopedic Surgery
Steven Robert Kaplan,1215922034,Gastroenterology
Mark Lee Ginnings,1205830643,Internal Medicine
Edgard L Pereira,1730183187,Radiology - Interventional Radiology
Peter David Candelora,1376547729,Surgery - Orthopedic Surgery
Syed Ali Asghar,1063407740,Internal Medicine
Daniel E Silpa,1053306753,Emergency Medicine
Adam Paul Murchie,1528063914,Nurse - Nurse Practitioner
Jude-farley Pierre,1750386108,Podiatry
Richard B Antosek,1912993536,Urology
Jorge E Mendia,1982609178,Obstetrics/Gynecology
David Lee Adler,1750386983,Obstetrics/Gynecology
Marty Buchanan,1649275744,Internal Medicine
David L Sheppard,1871589440,Internal Medicine
Samir S Vakil,1669468229,Podiatry
Sridevi Juvvadi,1780689919,Oncology - Hematology/Oncology
Scot T Williams,1942205190,Physician Assistant
Agustin M Ibarrola,1043206600,Surgery - Vascular Surgery
Himalaya E. Lele,1962407007,Surgery - Thoracic Surgery
Richard A. Real,1174528236,Obstetrics/Gynecology
Michael George Caruso,1922094317,Dermatology
Charles Alexander Prentice,1134124951,Internal Medicine
Armando Andres Fernandez,1558366377,Internal Medicine
David Doerrfeld,1801891635,Obstetrics/Gynecology
Hossam M Hassanein,1669468864,Internal Medicine
Donna Ann Saatman,1912993122,Surgery - Neurosurgery
Michael P Clare,1376548065,Surgery - Orthopedic Surgery
Michele M. Fowler,1306832522,Emergency Medicine
Gregory W Nestor,1639165863,Internal Medicine
Aaron Schwartz,1184629800,Pulmonary Disease
Rupa R Pachigolla,1639165731,Family Practice
Sherril Durbin,1245235993,Family Practice
Herold J Merisier,1356337497,Family Practice
David M Sharaf,1114922747,Dermatology
Robin Ilana Shecter,1003811647,Dermatology
Ian Heger,1801891411,Surgery - Neurosurgery
Richard Michael Rubenstein,1477558096,Dermatology
Ignacio Armas,1629064696,Obstetrics/Gynecology
Heidi H Arnold,1770579740,Obstetrics/Gynecology
Edward Charles Tinker,1992700462,Emergency Medicine
Pamela J Humpel,1164418141,Podiatry
Mahmoud Abdelfattah Nimer,1982609467,Cardiology - Cardiologist
James Eugene Alver,1356337240,Urology
William D Nicholson,1154327617,Surgery - General Surgery
George Edward Stewart,1275538795,Allergy/Immunology
Giselle Barreau Ghurani,1982609418,Oncology - Gynecological/Oncology
Jose Salazar,1740276443,Pulmonary Disease
Caren C Reaves,1932105459,Unknown
Anna L Coyle,1750387015,Anesthesiology - Certified Registered Nurse Anesthetist
Todd E. Minga,1467458604,Nephrology
Balaji Raghu-obleshwar,1104812999,Internal Medicine
Richard F. Walker,1760488910,Unknown
Joseph Wynn Sullivan,1982691689,Oncology - Hematology/Oncology
Eduardo Fernandez,1558367722,Radiology - Radiation Oncology
Juan M Garces,1619973807,Other
Jason S Finkelstein,1750355103,Cardiology - Cardiologist
Joel Frankel,1568436855,Internal Medicine
Aly A Howeedy,1770557035,Pathology
Raghav Love Seth,1194799387,Cardiology - Cardiologist
Jacqueline Ann Taylor,1164496584,Internal Medicine
Richard Brazzel,1477527844,Obstetrics/Gynecology
Eduardo Marichal,1720052103,Obstetrics/Gynecology
Christine Bechum Alexander,1487644647,Nurse - Nurse Practitioner
Linda M O'gara,1093705188,Nurse - Nurse Practitioner
Carlos A Leon,1982694030,Gastroenterology
Thomas Joseph Cornell,1740271881,Radiology - Diagnostic Radiology
Roger David Galvez,1881685931,Cardiology - Cardiologist
Monica L Omey,1952393852,Surgery - Orthopedic Surgery
Uday Hiremath,1497747216,Pediatric Medicine
Mauricio Melhado,1255323093,Cardiology - Cardiologist
Jean Foucauld,1164414900,Cardiology - Cardiologist
James R Mcnair,1902887003,Ophthalmology
Pudichery Kunjavara Paul,1356322325,Gastroenterology
Chander N. Samy,1518959386,Ophthalmology
Dianne Georgian-smith,1134100043,Radiology - Diagnostic Radiology
Brent Marc Schillinger,1457332488,Dermatology
Eric Eichhorn,1972595510,Cardiology - Cardiologist
Robert S Epstein,1124010624,Gastroenterology
Todd Jeffrey Florin,1790741783,Cardiology - Cardiologist
Imtiaz Hossain,1669439600,Pain Management - Interventional Pain Management
Ronald Lee Barnes,1962469981,Family Practice
Susan Fox,1497712327,Obstetrics/Gynecology
Bruce S. Bowers,1619979622,Cardiology - Cardiologist
Brandon C Charles,1609833276,Obstetrics/Gynecology
Surichya Surattanont,1427050251,Obstetrics/Gynecology
Vladimiro Giua,1720045529,Internal Medicine
Darius Peikari,1275590077,Internal Medicine
Neena R Gupta,1215929138,Family Practice
James J Thoene,1417938564,Anesthesiology - Anesthesiologist
Timothy Lebron Huggins,1033101829,Gastroenterology
Anita Magoon,1992786057,Surgery - General Surgery
Werner Jauch,1972595544,Cardiology - Interventional Cardiology
Arif M Qazi,1134111990,Gastroenterology
John A. Peterson,1245211242,Oncology - Hematology/Oncology
Vu Tran Ho,1871574871,Oncology - Hematology/Oncology
Eric W Scott,1164414884,Surgery - Neurosurgery
Steven M Bailey,1700878436,Surgery - Neurosurgery
Allen T Brasington,1912999665,Internal Medicine
Usha N Peri,1033100375,Nephrology
Dennis C Eisenberg,1851382154,Obstetrics/Gynecology
Steven Andrew Barna,1891786075,Pain Management - Interventional Pain Management
Diana Coxsey,1174514335,Family Practice
Maya N Benton,1134110307,Physician Assistant
Angela Marie Mercer,1164403390,Physician Assistant
Timothy Allen Richter,1518948637,Radiology - Diagnostic Radiology
Narayana murthy S Rattehalli,1144201260,Cardiology - Cardiac Surgery
Hina N Ahmed,1124009378,Ophthalmology
Miguel E. Rodriguez,1538117676,Rheumatology
John D Roddenberry,1215985221,Gastroenterology
Glenn Steven Kaplan,1881642700,Radiology - Diagnostic Radiology
Alejandra T. Kalik,1912970526,Pathology
Saquib Ibrahim,1093789539,Internal Medicine
Phillip Chapa,1487612362,Emergency Medicine
Shelley Sue Jaquish,1558329300,Otolaryngology
Paul Chupka,1104898691,Hospitalist
Luis Francisco Rosario,1245203793,Surgery - Oral Surgery (dentists only)
Joseph A Wieck,1750354221,Surgery - Orthopedic Surgery
Alexander Boix,1235197963,Surgery - Foot and Ankle
Francis C Oramalu,1003889478,Family Practice
Brian Matthew Gogel,1083672836,Surgery - Surgical Oncology
William M Sheinbaum,1336112564,Cardiology - Cardiologist
Andrew Scott Guttman,1164497681,Anesthesiology - Anesthesiologist
Prasad Konda,1598730079,Cardiology - Cardiologist
Gerald G George,1356316772,Family Practice
Iqbal Z. Hamid,1720053986,Anesthesiology - Anesthesiologist
Christopher W Tidwell,1538134994,Emergency Medicine
Lakshmi Narayana Padala,1053379735,Family Practice
Joseph P Springle,1194783738,Family Practice
Kathleen Liermann,1710950993,Anesthesiology - Certified Registered Nurse Anesthetist
Constance Ann Young,1225001415,Nurse - Nurse Practitioner
Eric Hamilton Benson,1144288614,Radiology - Diagnostic Radiology
Bruce S Fletcher,1760440234,Surgery - Orthopedic Surgery
James Michael Bradwell,1912965575,Emergency Medicine
Eduardo Garcia montes,1356314322,Urology
Paul A. Sporn,1447218904,Obstetrics/Gynecology
Nancy J Andrejack,1871567313,Physician Assistant
Julie Formoso onofrio,1619941069,Internal Medicine
Frances A Pulice,1194799601,Physician Assistant
Gregory Michael Fuller,1356347306,Family Practice
Richard Ellis Sumner,1033115100,Family Practice
Yemuna Emmy Satya,1790781771,Cardiology - Cardiologist
John Robert Brent,1609872688,Surgery - General Surgery
Jeffrey M Davis,1538165428,Adolescent Medicine
Douglass Morrison Hasell,1447256300,Pediatric Medicine
Fred E Aubert,1952307878,Neurology
Dan W Pulsipher,1194721019,Family Practice
Ana Maria Lamas,1063418606,Allergy/Immunology
Sheldon M. Hoxie,1144226788,Internal Medicine
Earlie Owens Hairston,1205832854,Podiatry
Romeo Acosta,1891791562,Obstetrics/Gynecology
Arthur M Sharkey,1245236066,Surgery - Hand Surgery
John C Stevenson,1780680504,Surgery - Neurosurgery
Donald T Trimble,1043216864,Surgery - Orthopedic Surgery
Jason J Rosenberg,1780680454,Surgery - Plastic and Reconstructive Surgery
Vanessa I Silebi,1780681361,Internal Medicine
Evelyn Lois Harris,1053317628,Nurse - Nurse Practitioner
Lisa Ann Miller,1407824675,Physician Assistant
Aerica Lynette Savage,1023015617,Nurse - Nurse Practitioner
Safoora Harandi,1134126691,Internal Medicine
Rumpa Amornmarn,1093783235,Radiology - Radiation Oncology
Ralph James Tullo,1225035751,Radiology - Diagnostic Radiology
Eldon G Hopkins,1407853955,Surgery - Orthopedic Surgery
Joseph Averbach,1649249798,Emergency Medicine
Brian S Thompson,1639176001,Physician Assistant
Thomas Zachos,1457329591,Urology
Kelly Felps,1205804366,Internal Medicine
Lawrence Smith,1215906342,Emergency Medicine
Mabel Rosa sola,1568431419,General Practice
Camilo L. Cabrera,1124025481,Internal Medicine
Yolanda M Molinaris,1710984919,General Practice
Laura Ann Gruneiro,1295704252,Surgery - Vascular Surgery
Shahnaz Ahmed,1780681049,Internal Medicine
John C Milanick,1295704286,Family Practice
Aruna Narasimman,1518964733,Internal Medicine
Betty Chung Grasty,1407853674,Internal Medicine
Jill A Gramer,1447229224,Family Practice
Farrukh Saeed,1750350591,Internal Medicine
Afeefa Chaudhry,1770552564,Internal Medicine
Leann Isaly,1912904095,Nurse - Nurse Practitioner
Adnan K Sammour,1578560546,Internal Medicine
Pierre Totti,1306843495,Internal Medicine
Barbara R Wagner,1275530248,Internal Medicine
John Joseph Pirrello,1578560611,Family Practice
Bartholomew F Natoli,1093712176,Internal Medicine
Beatrice A Saldana-ferretti,1164429270,Anesthesiology - Anesthesiologist
David L Galbut,1679570683,Cardiology - Cardiac Surgery
Howard B Jackson,1255338042,Pain Management - Interventional Pain Management
Naaman Abdullah,1679570402,Cardiology - Cardiac Surgery
Dante R Burgos,1427055391,Psychiatry
Timothy William Bolek,1568460285,Radiology - Radiation Oncology
Jason Levitre,1326017179,Podiatry
Sergio J. Perez,1780681585,Internal Medicine
Sanil Thomas,1548239270,Infectious Disease
Dipakkumar Mahasukhrai Parekh,1396742169,Internal Medicine
Richard David Berkowitz,1811994544,Surgery - Orthopedic Surgery
Amer George Rassam,1952370769,Oncology - Hematology/Oncology
Michael Lee Miller,1154390730,Surgery - Vascular Surgery
Rodolfo Martinez,1831168442,Surgery - General Surgery
Yung Chen,1366411845,Family Practice
Maureen O Jordan,1275502759,Obstetrics/Gynecology
Michael K Hahn,1295704781,Surgery - Orthopedic Surgery
Howard F Saslow,1376595561,Surgery - Orthopedic Surgery
Christopher James Cottrell,1215989827,Surgery - General Surgery
Arjun Bamzai,1942252184,Pediatric Medicine
Will F Williams,1003868522,Radiology - Diagnostic Radiology
Michael Paul Golden,1356393888,Dermatology
Walter I Choung,1740232917,Surgery - Orthopedic Surgery
Jeffrey Mark Mcfarlane,1932150596,Nurse - Nurse Practitioner
Kathryn Audra Greenway,1649221235,Radiology - Diagnostic Radiology
Enrique G. Molina,1295750933,Gastroenterology
John Robert Leibach,1104841840,Gastroenterology
Gabu Bhardwaj,1811912553,Gastroenterology
Lisa M. Kyzer,1922023506,Anesthesiology - Certified Registered Nurse Anesthetist
Ala F Sahawneh,1306861711,Family Practice
Thomica Julia James-evans,1578588984,Emergency Medicine
Jonas P Karlsson,1376568782,Emergency Medicine
Bhagwat Patel,1225064009,Nephrology
Ayman Alibrahim,1063469104,Allergy/Immunology
Leslie Johanson,1780947382,Nurse - Nurse Practitioner
Paul Joseph Richards,1275896797,Emergency Medicine
Glenn Green,1801159322,Surgery - Oral Surgery (dentists only)
Jared Rosenfeld,1326301789,Internal Medicine
Orlando Enrique Mieles,1700149143,General Practice
Robert Joseph Pandolfe,1053655712,Physician Assistant
Jeffrey W Schultz,1518201219,Nurse - Nurse Practitioner
Brittani C'ne Wegand,1568897361,Nurse - Nurse Practitioner
Maritza Amaly Rivera montalvo,1669807525,Obstetrics/Gynecology
Maryanna Piekarski,1457786196,Physician Assistant
Tony George,1235565862,Physician Assistant
Nathaniel James Vinje,1679909204,Internal Medicine
Bradley Philip Oneill,1043646672,Ophthalmology
Olympia Thalassites Morris,1447699491,Physician Assistant
Elie Mendelson,1982043972,Podiatry
Mohammed Shweikeh,1932548880,Family Practice
Ramona Nicoleta Ilie,1184987463,Surgery - General Surgery
Nicoleta Radoianu,1720428402,Nephrology
Dragomir Mijic,1043573371,Surgery - Orthopedic Surgery
Audrey M. Bellant,1972866010,Family Practice
Kristen Nicole Scogin,1417210477,Obstetrics/Gynecology
Maurice R Mawad,1508101809,Surgery - Thoracic Surgery
Jesse Adams,1972867935,Physician Assistant
Erwin Rusli,1396171641,Surgery - General Surgery
David Ismael Arbona calderon,1295161586,Emergency Medicine
Brittany Bradshaw Bascom,1790111813,Physician Assistant
Fernando Batista morales,1679909550,Emergency Medicine
Troy Saline,1073858973,General Practice
Jesse Michael Hatgis,1154666139,Pain Management
Patricia Michel-garrison,1891030813,Psychiatry
Melissa Blandford,1255767158,Nurse - Nurse Practitioner
Sheren Sze mun Leung,1740525666,Internal Medicine
Jamie Lee Miller,1033545884,Physician Assistant
Christian Djuanda,1518202381,Physician Assistant
Patrick Eugene Barry,1194060756,Osteopathic Manipulative Medicine
Jennifer L Siegel,1033454731,Nurse - Nurse Practitioner
Coralys Melendez lebron,1235566928,General Practice
Harry Jack Goldsztajn,1487081196,Oncology - Hematology/Oncology
Meghan Elizabeth Christian,1174950893,Nurse - Nurse Practitioner
Cecile Carmina Lebron aponte,1831539329,Emergency Medicine
Varun P Patel,1861832438,Gastroenterology
Thanh binh Vu Nguyen,1457791865,Podiatry
Matthew William Berrios,1689014920,Emergency Medicine
Demaris Soto,1093155384,Nurse - Nurse Practitioner
Saigi P Simon,1184975492,Nurse - Nurse Practitioner
Barbara Marie Buckley,1003167206,Podiatry
Lourdes L Varela-batista,1649535063,Pain Management - Interventional Pain Management
George Keith Gill,1306102264,Surgery - Orthopedic Surgery
Sabry Ahmad Omar,1689939910,Cardiology - Interventional Cardiology
Sean D Johnson,1457617144,Surgery - Thoracic Surgery
Jay A Allport,1790030906,Emergency Medicine
Camille D Rowe,1902162654,Anesthesiology - Anesthesiologist
Hardik B Bhatt,1639424849,Pulmonary Disease
Kathleen Elizabeth Tabaka,1922353127,Nurse - Nurse Practitioner
Samata Basani,1689929820,Endocrinology
Ehren Carine,1174889752,Family Practice
Iryna Babych,1790030849,Internal Medicine
Gerard Frantz Acloque,1154687507,Internal Medicine
Kui-tzu Victoria Feng,1629334081,Endocrinology
